Hotel Name,State,City,Rooms,WhatsApp Number,Email,Website,ICP Score,Est. Monthly Agoda Waste (RM),Nocturn Recovery Potential (RM),Source
The Point Boutique Hotel,Johor,Johor Bahru,48,+60167164724,pathma@sunrisebayumas.com,,10,9071,12960,MAH Directory
Vi Boutique Hotel,Selangor,Petaling Jaya,48,+60193876521,viboutiquehotel.ks@gmail.com,,10,9071,12960,MAH Directory
Greenvalley Eco Resort,Johor,Johor Bahru,50,+60167278800,greenvalleyecotourism@gmail.com,https://gveresort.com/,10,9450,13500,MAH Directory
Borneo Beach Villas,Sabah,Petaling Jaya,145,+60169329302,reservations@borneobeachvillas.com,http://www.borneobeachvillas.com,10,27405,39150,MAH Directory
Remington Hotel,Johor,Johor Bahru,42,+60149855578,front.desk@remingtonhotel.com.my,https://www.remingtonhotel.com.my/,7,7937,11340,MAH Directory
Hako Hotel Tuta,Johor,Johor Bahru,48,+60172776627,enquiry@hakohotel.com,https://www.hakohotel.com/,7,9071,12960,MAH Directory
Hotel Arena Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,84,+60198056348,unitedgroupmalay@gmail.com,https://hotelarenakl.com/,7,15875,22680,MAH Directory
Landison Hotel Penang,Penang,George Town,100,+60164027712,hr@landisonhotel.com.my,,7,18900,27000,MAH Directory
Sinar Eco Resort,Johor,Johor Bahru,20,+60137572434,sinarecoresort@gmail.com,http://www.sinaresort.com,5,3780,5400,MAH Directory
Utm Hotel & Residence,Kuala Lumpur,Kuala Lumpur,181,+60139396821,hospitality.residensiutmkl@gmail.com,https://www.utmholdings.com/,5,34209,48870,MAH Directory
Tiara Desaru Seaview Residence,Johor,Johor Bahru,200,+60177920522,tiaradesaru1@gmail.com,https://tiaradesaru.com/,5,37800,54000,MAH Directory
"ONE18 Boutique Hotel, KL Chinatown",Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),+60103938151,,,5,7560,10800,Google Places
Axon Luxury Suites KL,Kuala Lumpur,Bukit Bintang,Unknown (Boutique),+60192880682,,,5,7560,10800,Google Places
Bestow Boutique Hotel,Kuala Lumpur,Bukit Bintang,Unknown (Boutique),+601168469879,,https://www.thebestowexperience.com/,5,7560,10800,Google Places
KL Plaza Suites,Kuala Lumpur,Bukit Bintang,Unknown (Boutique),+60102775238,,https://www.berjayavacation.com.my/local_detail.php?pid=74&action=all&pgno=1&cid=-1&prod=235,5,7560,10800,Google Places
