name,phone,state,city,rooms,agoda_waste,roi_potential
The Point Boutique Hotel,60167164724,Johor,Johor Bahru,48,9071,12960
Vi Boutique Hotel,60193876521,Selangor,Petaling Jaya,48,9071,12960
Greenvalley Eco Resort,60167278800,Johor,Johor Bahru,50,9450,13500
Borneo Beach Villas,60169329302,Sabah,Petaling Jaya,145,27405,39150
Remington Hotel,60149855578,Johor,Johor Bahru,42,7937,11340
Hako Hotel Tuta,60172776627,Johor,Johor Bahru,48,9071,12960
Hotel Arena Kuala Lumpur,60198056348,Kuala Lumpur,Kuala Lumpur,84,15875,22680
Landison Hotel Penang,60164027712,Penang,George Town,100,18900,27000
Sinar Eco Resort,60137572434,Johor,Johor Bahru,20,3780,5400
Utm Hotel & Residence,60139396821,Kuala Lumpur,Kuala Lumpur,181,34209,48870
Tiara Desaru Seaview Residence,60177920522,Johor,Johor Bahru,200,37800,54000
"ONE18 Boutique Hotel, KL Chinatown",60103938151,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),7560,10800
Axon Luxury Suites KL,60192880682,Kuala Lumpur,Bukit Bintang,Unknown (Boutique),7560,10800
Bestow Boutique Hotel,601168469879,Kuala Lumpur,Bukit Bintang,Unknown (Boutique),7560,10800
KL Plaza Suites,60102775238,Kuala Lumpur,Bukit Bintang,Unknown (Boutique),7560,10800
Scarletz Suites KLCC by MyKey Global,60186600155,Kuala Lumpur,KLCC,Unknown (Boutique),7560,10800
Golden Suites at Platinum KLCC Kuala Lumpur,601128517010,Kuala Lumpur,KLCC,Unknown (Boutique),7560,10800
STAR SUITES KLCC,60177530017,Kuala Lumpur,KLCC,Unknown (Boutique),7560,10800
Signature Apartment at Mercu Summer Suites KLCC,60199338834,Kuala Lumpur,KLCC,Unknown (Boutique),7560,10800
Redstone Boutique Hotel Kuala Lumpur,60174057771,Kuala Lumpur,Chow Kit,Unknown (Boutique),7560,10800
RH Suites,60166136763,Kuala Lumpur,Mont Kiara,Unknown (Boutique),7560,10800
Azlan's Eco-Village Homestay & Foodscape,60196221184,Kuala Lumpur,Mont Kiara,Unknown (Boutique),7560,10800
Societe Suites Hartamas by Bamboo Hospitality,60105862118,Kuala Lumpur,Mont Kiara,Unknown (Boutique),7560,10800
Arte Mont Kiara by Dream'Inn,60198118918,Kuala Lumpur,Mont Kiara,Unknown (Boutique),7560,10800
City Residence Shah Alam Hotel,60193716790,Selangor,Shah Alam,Unknown (Boutique),7560,10800
I City Residency Homestay,60123410101,Selangor,Shah Alam,Unknown (Boutique),7560,10800
Durra Homestay,60132868612,Selangor,Shah Alam,Unknown (Boutique),7560,10800
Sentosa Villa Hotel,60122692655,Selangor,Shah Alam,Unknown (Boutique),7560,10800
"Taja's Homestay accomodation in Shah Alam, Selangor",60127221519,Selangor,Shah Alam,Unknown (Boutique),7560,10800
Sritel Boutique Hotel,601111028106,Selangor,Shah Alam,Unknown (Boutique),7560,10800
