company,company_domain_name,phone,address,city,state,country,zip,industry,type,numberofemployees,website,firstname,lastname,jobtitle,email,mobilephone,nocturn_icp_score,nocturn_icp_tier,nocturn_star_rating,nocturn_room_count,nocturn_has_whatsapp,nocturn_whatsapp_number,nocturn_whatsapp_source,nocturn_has_email,nocturn_after_hours_gap,nocturn_google_rating,nocturn_google_reviews,nocturn_google_maps_url,nocturn_member_id,nocturn_source,nocturn_outreach_priority,nocturn_outreach_channel,nocturn_pilot_roi_estimate,nocturn_adr_estimate,nocturn_pilot_status,nocturn_pilot_start_date,nocturn_first_touch_template,nocturn_notes,nocturn_data_collected_date,lifecyclestage,hs_lead_status,lead_source,lead_source_detail
@Thome Boutique Hotel,athomebintulu.com,+6086315006,"No.31-40 (2605-2614) Lot 2535 Kidurong Gateway, Block 20 Kemena Land District Jalan Kidurong, 97000, Bintulu, Sarawak, Malaysia,",Kuching,Sarawak,Malaysia,97000,Hospitality,PROSPECT,96,http://www.athomebintulu.com,,,General Manager,rsvn@athomebintulu.com,,8,HOT,Others,96,NO,,,YES,YES,,,,1229,MAH Directory,3,Email,6048,120,Not Started,,1C,96 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
1969 Business Suites @ Ipoh Garden,1969businesssuites.com,+60172646202,"G-R-18, Ground Floor, Zone B, Persiaran Medan Ipoh, 31400, Ipoh, Perak, Malaysia,",Ipoh,Perak,Malaysia,31400,Hospitality,PROSPECT,41,https://1969businesssuites.com/,,,General Manager,christopher@1969businesssuites.com,+60172646202,8,HOT,3 Star,41,YES,+60172646202,mah_directory,YES,YES,,,,1829,MAH Directory,1,WhatsApp,2591,120,Not Started,,1B,3 Star | Email | WhatsApp,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
56 Hotel,56hotel.com.my,+6082575666,"Lot 2228 & 2229, Section 64, Jalan Tun Jugah, 93350, Kuching, Sarawak, Malaysia,",Kuching,Sarawak,Malaysia,93350,Hospitality,PROSPECT,155,http://www.56hotel.com.my,,,General Manager,inquiry@56hotel.com.my,,10,HOT,3 Star,155,NO,,,YES,YES,,,,0987,MAH Directory,3,Email,9936,120,Not Started,,1C,3 Star | 155 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
A' Famosa Resort Hotel,afamosa.com,+6065520888,"Jalan Kemus, Simpang Empat, 78000, Alor Gajah, Melaka, Malaysia,",Melaka,Melaka,Malaysia,78000,Hospitality,PROSPECT,213,http://www.afamosa.com,,,General Manager,enquiries@afamosa.com,,10,HOT,4 Star,213,NO,,,YES,YES,,,,0284,MAH Directory,3,Email,20412,180,Not Started,,1C,4 Star | 213 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Abell Hotel,abellhotel.com,+6082239449,"No. 22, Jalan Tunku Abdul Rahman, 93100, Kuching, Sarawak, Malaysia,",Kuching,Sarawak,Malaysia,93100,Hospitality,PROSPECT,80,http://www.abellhotel.com,,,General Manager,info@abellboutiquehotel.com.my,,10,HOT,3 Star,80,NO,,,YES,YES,,,,0731,MAH Directory,3,Email,5183,120,Not Started,,1C,3 Star | 80 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Ac Hotel Kuala Lumpur Titiwangsa,ytlhotels.com,+60340428000,"No. 9, Jalan Lumut, Off Jalan Ipoh, 50400, Kuala Lumpur, Kuala Lumpur, Malaysia,",Kuala Lumpur,Kuala Lumpur,Malaysia,50400,Hospitality,PROSPECT,364,http://www.ytlhotels.com,,,General Manager,dutymanager@achotelkl.com,,11,HOT,4 Star,364,NO,,,YES,YES,,,,0166,MAH Directory,2,Email,49049,250,Not Started,,1C,4 Star | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Acappella Suite Hotel,acappellasuitehotel.com,+6035039888,"8, Persiaran Sukan, Seksyen 13, 40100, Shah Alam, Selangor, Malaysia,",Petaling Jaya,Selangor,Malaysia,40100,Hospitality,PROSPECT,212,https://acappellasuitehotel.com/,,,General Manager,info@acapella.com.my,,12,HOT,4 Star,212,NO,,,YES,YES,,,,1048,MAH Directory,2,Email,20412,180,Not Started,,1C,4 Star | 212 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Adya Hotel Langkawi,adyahotellangkawi.com-malaysia.com,+6049608000,"No. 1, PT 4001, Persiaran Mutiara 2, Mukim Kuah, 07000, Langkawi, Kedah, Malaysia,",Langkawi,Kedah,Malaysia,07000,Hospitality,PROSPECT,207,https://adyahotellangkawi.com-malaysia.com/,,,General Manager,enquiry@adyahotellangkawi.com,,9,HOT,4 Star,207,NO,,,YES,YES,,,,1037,MAH Directory,3,Email,20087,180,Not Started,,1C,4 Star | 207 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Ajang Hotel,ajanghotel.com.my,+6085433173,"Lot 1326 - 1335, Jalan Bendahara, Water Commercial Centre, 98000, Miri, Sarawak, Malaysia,",Kuching,Sarawak,Malaysia,98000,Hospitality,PROSPECT,140,http://www.ajanghotel.com.my,,,General Manager,bestrate@ajanghotel.com.my,,10,HOT,3 Star,140,NO,,,YES,YES,,,,1069,MAH Directory,3,Email,9072,120,Not Started,,1C,3 Star | 140 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Alami Garden Hotel,alamigardenhotel.com.my,+60355181223,"1-13-1 Blok 1, Persiaran ALAMi, Persiaran Akuatik Seksyen 13, 40100, Shah Alam, Selangor, Malaysia,",Petaling Jaya,Selangor,Malaysia,40100,Hospitality,PROSPECT,50,http://www.alamigardenhotel.com.my,,,General Manager,alamigardenhotel@yahoo.com.my,,9,HOT,2 Star,50,NO,,,YES,YES,,,,0693,MAH Directory,2,Email,3240,120,Not Started,,1C,50 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
