company,company_domain_name,phone,address,city,state,country,zip,industry,type,numberofemployees,website,firstname,lastname,jobtitle,email,mobilephone,nocturn_icp_score,nocturn_icp_tier,nocturn_star_rating,nocturn_room_count,nocturn_has_whatsapp,nocturn_whatsapp_number,nocturn_whatsapp_source,nocturn_has_email,nocturn_after_hours_gap,nocturn_google_rating,nocturn_google_reviews,nocturn_google_maps_url,nocturn_member_id,nocturn_source,nocturn_outreach_priority,nocturn_outreach_channel,nocturn_pilot_roi_estimate,nocturn_adr_estimate,nocturn_pilot_status,nocturn_pilot_start_date,nocturn_first_touch_template,nocturn_notes,nocturn_data_collected_date,lifecyclestage,hs_lead_status,lead_source,lead_source_detail
Arcadia Beach Resort,arcadiabeachresort.com.my,+60138831010,"Lot 9C & 9D, 1st Floor, Seafest Complex, Jalan Kastam, 91308, Semporna, Sabah, Malaysia,",Kota Kinabalu,Sabah,Malaysia,91308,Hospitality,PROSPECT,44,https://www.arcadiabeachresort.com.my/,,,General Manager,booking.arcadiabeachresort@gmail.com,+60138831010,9,HOT,4 Star,44,YES,+60138831010,mah_directory,YES,YES,,,,1758,MAH Directory,1,WhatsApp,5148,220,Not Started,,1B,4 Star | Email | WhatsApp,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Asaya Hotel Kota Kinabalu,asayahotelkk.com,+6088384408,"Ground to 6th Floor,, Jalan Metro 2, Metro Town off Jalan Lintas, 88300, Kota Kinabalu, Sabah, Malaysia,",Kota Kinabalu,Sabah,Malaysia,88300,Hospitality,PROSPECT,103,https://asayahotelkk.com/,,,General Manager,finance.avangiohotel@gmail.com,,11,HOT,4 Star,103,NO,,,YES,YES,,,,1056,MAH Directory,3,Email,11880,220,Not Started,,1C,4 Star | 103 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Beringgis Beach Resort & Spa,beringgis.com,+6088752333,"KM 26, Jalan Papar, Kampung Beringgis Kinarut, 89600, Papar, Sabah, Malaysia,",Kota Kinabalu,Sabah,Malaysia,89600,Hospitality,PROSPECT,120,http://www.beringgis.com,,,General Manager,info@beringgis.com,,11,HOT,4 Star,120,NO,,,YES,YES,,,,0371,MAH Directory,3,Email,14255,220,Not Started,,1C,4 Star | 120 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Borneo Beach & Mangrove Resort,borneobeachmangroveresort.com,+601114261968,"Jalan India Mimpian Jadi, Kg Pulau Simpangan, Kuala Matinggi, 89120, Tuaran, Sabah, Malaysia,",Kota Kinabalu,Sabah,Malaysia,89120,Hospitality,PROSPECT,167,https://borneobeachmangroveresort.com/,,,General Manager,bbmr.reservation@gmail.com,+601114261968,12,HOT,4 Star,167,YES,+601114261968,mah_directory,YES,YES,,,,1863,MAH Directory,1,WhatsApp,19800,220,Not Started,,1B,4 Star | 167 rooms | Email | WhatsApp,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Borneo Beach Villas,borneobeachvillas.com,+60169329302,"Pool Villa 161 Precinct Dillenia, Nexus Residence Karambunai, Off Jalan Sepangar, 88993, Kota Kinabalu, Sabah, Malaysia,",Petaling Jaya,Sabah,Malaysia,88993,Hospitality,PROSPECT,145,http://www.borneobeachvillas.com,,,General Manager,reservations@borneobeachvillas.com,+60169329302,10,HOT,Others,145,YES,+60169329302,mah_directory,YES,YES,,,,1324,MAH Directory,1,WhatsApp,9288,120,Not Started,,1B,145 rooms | Email | WhatsApp,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Borneo Divers Mabul Resort,borneodivers.com.my,+6088222226,"Borneo Divers Mabul Resort, Mabul Island, 91308, Semporna, Sabah, Malaysia,",Kota Kinabalu,Sabah,Malaysia,91308,Hospitality,PROSPECT,98,https://borneodivers.com.my/,,,General Manager,reservations@borneodivers.com.my,,11,HOT,4 Star,98,NO,,,YES,YES,,,,1876,MAH Directory,3,Email,11484,220,Not Started,,1C,4 Star | 98 rooms | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Borneo Eagle Resort,echoresorts.com,+6088380390,"Pulau Tiga Park, 89747, Kuala Penyu, Sabah, Malaysia,",Kota Kinabalu,Sabah,Malaysia,89747,Hospitality,PROSPECT,13,https://www.echoresorts.com/borneoeagle/,,,General Manager,rsvn.borneoeagle@echoresorts.com,,6,WARM,Others,13,NO,,,YES,YES,,,,1484,MAH Directory,3,Email,2700,150,Not Started,,1C,Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Borneo Nature Lodge,borneonaturelodge.com.my,+6089210718,"NT 1255, Kg. Sukau, Kinabatangan, 90200 , Sandakan, Sabah, Malaysia,",Kota Kinabalu,Sabah,Malaysia,90200,Hospitality,PROSPECT,13,http://www.borneonaturelodge.com.my,,,General Manager,rsvn@borneonaturelodge.com.my,,5,WARM,2 Star,13,NO,,,YES,YES,,,,1108,MAH Directory,3,Email,2700,150,Not Started,,1C,Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Borneo Rainforest Lodge,borneonaturetours.com,+6088267637,"KM 78 Danum Valley, Jalan Danum, P.O. Box 61174, 91120, Lahad Datu, Sabah, Malaysia,",Kota Kinabalu,Sabah,Malaysia,61174,Hospitality,PROSPECT,31,http://www.borneonaturetours.com,,,General Manager,info@borneonaturetours.com,,6,WARM,5 Star,31,NO,,,YES,YES,,,,0399,MAH Directory,3,Email,2700,150,Not Started,,1C,5 Star | Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
Borneo Royale Hotel,borneoroyale.com,+6089982888,"2nd Floor, Eastern Plaza, Mile 1, Jalan Kuhara, 91000, Tawau, Sabah, Malaysia,",Kota Kinabalu,Sabah,Malaysia,91000,Hospitality,PROSPECT,50,http://www.borneoroyale.com,,,General Manager,enquiry@borneoroyale.com,,5,WARM,,,NO,,,YES,YES,,,,1461,MAH Directory,3,Email,8100,150,Not Started,,1C,Email | Phone,2026-03-26,marketingqualifiedlead,NEW,MAH Directory Scrape,hotels.org.my/members - Scraped 2026-03-26
